subnum,effector,mm,init
140426QC660804,RF,1,A12
140426QC660804,RF,1.5,A12
140426QC660804,RF,1.5,A12
140426QC660804,RF,0,A12
140426QC660804,RF,0,A12
140426QC660804,RF,0,A12
140426QC660804,RF,0,A12
140426QC660804,RF,0,A12
140426QC660804,RF,0,A12
140429JN500119,M,2,A08
140429JN500119,M,2.5,A08
140429JN500119,M,1,A08
140429JN500119,M,2,A08
140429JN500119,M,1.5,A08
140429JN500119,M,1,A08
140429JN500119,M,2,A08
140429JN500119,M,0,A08
140429JN500119,M,0,A08
140429JN500119,M,0,A08
140501HQ940114,R,1.5,A19
140501HQ940114,R,2,A19
140501HQ940114,R,1,A19
140501HQ940114,R,0,A19
140501HQ940114,R,0,A19
140501HQ940114,R,0,A19
140501HQ940114,R,0,A19
140501HQ940114,R,0,A19
140501HQ940114,R,0,A19
140501HQ940114,R,0,A19
140501HQ940114,LF,1,A19
140501HQ940114,LF,1.5,A19
140501HQ940114,LF,0,A19
140501HQ940114,LF,0,A19
140501HQ940114,LF,0,A19
140501HQ940114,LF,0,A19
140501HQ940114,LF,0,A19
140501HQ940114,LF,0,A19
140501HQ940114,LF,0,A19
140501HQ940114,LF,0,A19
140507AF750813,L,1,A15
140507AF750813,L,1,A15
140507AF750813,L,0,A15
140507AF750813,L,0,A15
140507AF750813,L,0,A15
140507AF750813,L,0,A15
140507AF750813,L,0,A15
140507AF750813,L,0,A15
140507AF750813,L,0,A15
140507AF750813,L,0,A15
140507AF750813,R,1,A15
140507AF750813,R,1,A15
140507AF750813,R,0,A15
140507AF750813,R,0,A15
140507AF750813,R,0,A15
140507AF750813,R,0,A15
140507AF750813,R,0,A15
140507AF750813,R,0,A15
140507AF750813,R,0,A15
140507AF750813,R,0,A15
140520PZ570916,LP,3.5,A11
140520PZ570916,LP,1,A11
140520PZ570916,LP,6.5,A11
140520PZ570916,LP,3,A11
140520PZ570916,LP,2,A11
140520PZ570916,LP,1.5,A11
140520PZ570916,LP,4,A11
140520PZ570916,LP,1.5,A11
140520PZ570916,LP,1.5,A11
140520PZ570916,LP,0,A11
140522JR850207,L,1,A17
140522JR850207,L,0,A17
140522JR850207,L,0,A17
140522JR850207,L,0,A17
140522JR850207,L,0,A17
140522JR850207,L,0,A17
140522JR850207,L,0,A17
140522JR850207,L,0,A17
140522JR850207,L,0,A17
140522JR850207,L,0,A17
140522JR850207,RF,1.5,A17
140522JR850207,RF,0,A17
140522JR850207,RF,0,A17
140522JR850207,RF,0,A17
140522JR850207,RF,0,A17
140522JR850207,RF,0,A17
140522JR850207,RF,0,A17
140522JR850207,RF,0,A17
140522JR850207,RF,0,A17
140522JR850207,RF,0,A17
140528PF590128,L,1,A14
140528PF590128,L,2.5,A14
140528PF590128,L,0,A14
140528PF590128,L,2,A14
140528PF590128,L,1,A14
140528PF590128,L,1.5,A14
140528PF590128,L,1.5,A14
140528PF590128,L,0,A14
140528PF590128,L,0,A14
140528PF590128,L,0,A14
140528PF590128,L,0,A14
140528PF590128,R,1,A14
140528PF590128,R,1,A14
140528PF590128,R,1.5,A14
140528PF590128,R,1.5,A14
140528PF590128,R,0,A14
140528PF590128,R,0,A14
140528PF590128,R,0,A14
140528PF590128,R,0,A14
140528PF590128,R,0,A14
140528PF590128,R,0,A14
140602PB490304,RP,1,A20
140602PB490304,RP,2,A20
140602PB490304,RP,1,A20
140602PB490304,RP,1,A20
140602PB490304,RP,0,A20
140602PB490304,RP,0,A20
140602PB490304,RP,0,A20
140602PB490304,RP,0,A20
140602PB490304,RP,0,A20
140602PB490304,RP,0,A20
140605KH701230,RF,2,A05
140605KH701230,RF,1.5,A05
140605KH701230,RF,0,A05
140605KH701230,RF,0,A05
140605KH701230,RF,0,A05
140605KH701230,RF,0,A05
140605KH701230,RF,0,A05
140605KH701230,RF,0,A05
140605KH701230,RF,0,A05
140605KH701230,RF,0,A05
