subnum,effector,mm,init
140130JI70123,L,0,a_3
140130JI70123,L,0,a_3
140130JI70123,L,0,a_3
140130JI70123,L,0,a_3
140130JI70123,L,0,a_3
140130JI70123,L,0,a_3
140130JI70123,L,0,a_3
140130JI70123,RP,1,a_3
140130JI70123,RP,0,a_3
140130JI70123,RP,0,a_3
140130JI70123,RP,0,a_3
140130JI70123,RP,0,a_3
140130JI70123,RP,0,a_3
140130JI70123,RP,0,a_3
140130JI70123,RP,0,a_3
140130JI70123,RP,0,a_3
140130JI70123,RP,0,a_3
140305NU550730,M,1,a_4
140305NU550730,M,3.5,a_4
140305NU550730,M,1,a_4
140305NU550730,M,1.5,a_4
140305NU550730,M,2,a_4
140305NU550730,M,1,a_4
140305NU550730,M,3,a_4
140305NU550730,M,0,a_4
140305NU550730,M,0,a_4
140305NU550730,M,0,a_4
140305NU550730,L,2.5,a_4
140305NU550730,L,1,a_4
140305NU550730,L,1.5,a_4
140305NU550730,L,2,a_4
140305NU550730,L,2,a_4
140305NU550730,L,0,a_4
140305NU550730,L,0,a_4
140305NU550730,L,0,a_4
140305NU550730,L,0,a_4
140305NU550730,L,0,a_4
140311HK461114,L,1,a_5
140311HK461114,L,1,a_5
140311HK461114,L,3,a_5
140311HK461114,L,1,a_5
140311HK461114,L,0,a_5
140311HK461114,L,0,a_5
140311HK461114,L,0,a_5
140311HK461114,L,0,a_5
140311HK461114,L,0,a_5
140311HK461114,L,0,a_5
140311HK461114,RP,2,a_5
140311HK461114,RP,2,a_5
140311HK461114,RP,0,a_5
140311HK461114,RP,0,a_5
140311HK461114,RP,0,a_5
140311HK461114,RP,0,a_5
140311HK461114,RP,0,a_5
140311HK461114,RP,0,a_5
140311HK461114,RP,0,a_5
140311HK461114,RP,0,a_5
14031PF30219,RP,6,a_6
14031PF30219,RP,0,a_6
14031PF30219,RP,0,a_6
14031PF30219,RP,1,a_6
14031PF30219,RP,1,a_6
14031PF30219,RP,4,a_6
14031PF30219,RP,1,a_6
14031PF30219,RP,0,a_6
14031PF30219,RP,0,a_6
14031PF30219,RP,0,a_6
14031PF30219,LP,0,a_6
14031PF30219,LP,0,a_6
14031PF30219,LP,0,a_6
14031PF30219,LP,0,a_6
14031PF30219,LP,0,a_6
14031PF30219,LP,0,a_6
14031PF30219,LP,0,a_6
14031PF30219,LP,0,a_6
14031PF30219,LP,0,a_6
14031PF30219,LP,0,a_6
140319PQ520624,LP,0,a_7
140319PQ520624,LP,1.5,a_7
140319PQ520624,LP,1,a_7
140319PQ520624,LP,0,a_7
140319PQ520624,LP,3,a_7
140319PQ520624,LP,1,a_7
140319PQ520624,LP,1,a_7
140319PQ520624,LP,1,a_7
140319PQ520624,LP,0,a_7
140319PQ520624,LP,0,a_7
140319PQ520624,RP,0,a_7
140319PQ520624,RP,0,a_7
140319PQ520624,RP,1.5,a_7
140319PQ520624,RP,1,a_7
140319PQ520624,RP,1,a_7
140319PQ520624,RP,1.5,a_7
140319PQ520624,RP,1,a_7
140319PQ520624,RP,0,a_7
140319PQ520624,RP,0,a_7
140319PQ520624,RP,0,a_7
