subject,mean_mm,yss,ybis
CH,16.5625,4.4,0
DR1,44.4375,1.25,13.3
DR2,34.4375,2.1,13.3
DR3,37.354167,2.4,13.3
EH,32.797872,5.5,2.5
GF,11.3,10,4.6
JS,4.556875,8.9,0
MS,12.1,12,13
PP,12.9375,1.4,0
RW,27.1875,8.7,0
