subject,error,effector
3_13,1,L
3_13,0,R
3_15,1.65,L
3_15,0.25,R
3_16,0.1,L
3_16,0.2,R
3_17,0,L
3_17,0.1,R
3_18,0.1,L
3_18,0,R
3_19,1.4,L
3_19,0.5,R
3_20,0.55,L
3_20,1.6,R
3_21,0.4,L
3_21,0.1,R
3_22,0,L
3_22,0.1,R
3_23,0,L
3_23,0.1,R
3_24,0,L
3_24,0.35,R
