subject,error,effector
A01,0.4,L
A01,0.4,M
A02,0,L
A02,0.25,M
A03,0,L
A03,0.1,RP
A04,0.9,L
A04,1.3,M
A05,0.35,RF
A06,0.6,L
A06,0.4,RP
A07,0,L
A07,1.3,RP
A08,1.2,M
A09,0.35,L
A09,1.65,M
A10,0.1,L
A10,0.55,RF
A11,1.05,LP
A12,0.4,LF
A12,0.6,RF
A13,0.85,L
A13,0.6,R
A14,0.863636,L
A14,0.5,R
A15,0.2,L
A15,0.2,R
A16,1.05,LP
A16,0.4,R
A17,0.1,L
A17,0.15,RF
A19,0.25,LF
A19,0.45,R
A20,0.5,RP
A22,0,L
A22,0,M
