subject,mean_mm,yss,ybis
DR1,44.4375,1.25,13.3
DR2,34.4375,2.1,13.3
DR3,37.354167,2.4,13.3
EH,32.797872,5.5,2.5
GF,11.3,10,4.6
MS,12.1,12,13
